agency,treesize,loss,auprc,auroc,acc
AGSO,1000,0.01338590284460389,0.9677902511443537,0.9984522033295218,0.9952367944240013
JAMSTEC,1000,0.08283502402063575,0.7657486103812206,0.9654962278451058,0.9655799658799431
NGA,1000,0.3707973604892117,0.930974648122372,0.9532055818733111,0.8577677216591155
NGDC,1000,0.1733448708654725,0.7495146089845358,0.9313671264822944,0.9417943291626371
NOAA_geodas,1000,0.19291359978995798,0.9280828927366285,0.9671123194707409,0.9304942513862331
SIO,1000,0.686729187943744,0.942385678993946,0.9654387250065343,0.8468180726081196
US_multi,1000,0.16532569416808876,0.8855727644414229,0.9717575672175048,0.9316786776885456
